model,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
ST-LOS,42,12,1.6633464805478972,1.1664830882374833,1.6633464805478972,0.7547933507740983,74.0,0.4444444444444444,0.027777777777777776,0.0,0.49348712637648307
ST-LOS,42,13,2.06882284230333,0.9518015341060918,2.06882284230333,0.7235222691442909,74.1,0.15873015873015872,0.018518518518518517,0.0,0.4935669029063688
ST-LOS,42,14,2.0653867770016676,0.9436038388469354,2.0653867770016676,0.7263911429459486,74.0,0.06349206349206349,0.016666666666666666,0.0,0.5209335878743354
ST-LOS,42,15,2.046912419117563,0.9699434909394117,2.046912419117563,0.7268576554166593,74.0,0.19047619047619047,0.019230769230769232,0.0,0.44117775367023254
ST-LOS,42,16,2.053227779341907,0.972519708842766,2.053227779341907,0.7324688856194659,73.8,0.0,0.015625,0.0,0.5031318631795568
ST-LOS,42,17,2.0641208208673367,0.9482905346203626,2.0641208208673367,0.7293020874504151,73.8,0.0,0.015625,0.0,0.505134966375021
ST-LOS,42,18,2.0432625379019638,0.9582129750794511,2.0432625379019638,0.7291260599120846,73.9,0.015873015873015928,0.015873015873015872,0.0,0.5216230665601843
ST-LOS,42,19,1.978564205208445,0.9710726907582787,1.978564205208445,0.7253046069687944,74.0,0.5396825396825398,0.03333333333333333,0.0,0.4975140798542676
ST-LOS,42,20,1.9076618208148615,0.9697921789758573,1.9076618208148615,0.7211341247325991,73.8,0.17460317460317465,0.018867924528301886,0.036256988989126326,0.4693605788111754
ST-LOS,42,21,1.805184917721322,1.0037633863891042,1.805184917721322,0.7296209538855204,75.2,0.31746031746031744,0.022727272727272728,0.008447504791651905,0.4712190729563901
ST-LOS,42,22,1.7536852243469983,1.0918320330177866,1.7536852243469983,0.7414425955555304,73.8,0.04761904761904767,0.01639344262295082,0.016646765470253566,0.442616674489683
ST-LOS,42,23,1.713082772929494,1.1307114328795331,1.713082772929494,0.7446705645662013,73.7,0.09523809523809523,0.017241379310344827,0.043128234617596295,0.4584609900812577
ST-LOS,42,24,1.7248341000177028,1.1101907772746513,1.7248341000177028,0.7434273715910873,73.7,0.07936507936507942,0.01694915254237288,0.02696308666457925,0.43988404433130524
ST-LOS,42,25,1.6655716285472963,1.1761352405315493,1.6655716285472963,0.7536012326798788,73.6,0.04761904761904767,0.01639344262295082,0.02696308666457925,0.43531109004879387
ST-LOS,42,26,1.6756050247487013,1.1825839969200818,1.6756050247487013,0.7526011258606019,73.7,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.43670991086608213
ST-LOS,42,27,1.655946553238039,1.226897574052578,1.655946553238039,0.7594575329524714,73.7,0.015873015873015928,0.015873015873015872,0.006119777848526686,0.4113609713591799
ST-LOS,42,28,1.6688960926319525,1.2218182368007133,1.6688960926319525,0.7612136398873678,74.0,0.015873015873015928,0.015873015873015872,0.006119777848526686,0.4611762221448125
ST-LOS,42,29,1.6540064307732312,1.185155609758889,1.6540064307732312,0.749261566293918,73.9,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.5007419558083649
ST-LOS,42,30,1.636619681265296,1.13937516231847,1.636619681265296,0.740899736319131,74.0,0.015873015873015928,0.015873015873015872,0.02696308666457925,0.4835700047484541
