input,mu_star,sigma,S1,ST
epsilon,0.762467447310239,0.29976832904133893,0.8453057828653316,0.8765141809564484
w1,0.09499352765385341,0.15833105912291098,0.003718606039375624,0.019175909411669776
embed_dim,0.2992362067774667,0.15811374112105722,0.11801178172736508,0.1377819224913359
