model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL,42,1,2.091071367263794,0.701824426651001,0.6954215615987778,0.6938253343105316,1.3,0.5135135135135135,0.5553991006009243,0.28075396825396826,0.45755794771335245,0.48612895651274884
VFL-MTL,42,2,2.0791661739349365,0.6944871544837952,0.6921545565128326,0.6925245374441147,1.0,0.5215215215215214,0.5209168356689422,0.34226190476190477,0.5008096809301051,0.48056573583893597
VFL-MTL,42,3,2.0781468749046326,0.6936809569597244,0.6925321519374847,0.691933810710907,0.9,0.4784784784784784,0.4805264362161808,0.32738095238095244,0.49424746441667394,0.48625473963963955
VFL-MTL,123,1,2.0903987288475037,0.6968125849962234,0.6990168541669846,0.6945693641901016,1.0,0.5823529411764706,0.5694088051205902,0.4491341991341992,0.3149623260668305,0.5016921665218993
VFL-MTL,123,2,2.079710841178894,0.6933126449584961,0.6933307498693466,0.6930674612522125,0.9,0.5754901960784313,0.5684837662058811,0.5454545454545454,0.3529313536647546,0.5067398009863991
VFL-MTL,123,3,2.078977406024933,0.6925925016403198,0.6938276141881943,0.6925573498010635,1.0,0.5764705882352941,0.5644276630505434,0.6028138528138528,0.39288740450054227,0.5069656029874359
VFL-MTL,7,1,2.098785698413849,0.6959024369716644,0.7087920308113098,0.6940912455320358,1.1,0.5689149560117301,0.5794805242188054,0.6480392156862745,0.6762343828718361,0.48410975321545663
VFL-MTL,7,2,2.069763481616974,0.6902363896369934,0.6858892440795898,0.6936377882957458,1.0,0.6314760508308895,0.6664175656169506,0.5176470588235293,0.5084859420411552,0.4962300764156231
VFL-MTL,7,3,2.067133665084839,0.6893896609544754,0.6842614412307739,0.6934825479984283,1.0,0.6236559139784946,0.657827961023371,0.49313725490196075,0.4735357157190384,0.49066406911282046
VFL-MTL-FedProx-001,42,1,2.0920532941818237,0.7026493102312088,0.6955641806125641,0.6938397139310837,1.0,0.5885885885885885,0.5652682649712742,0.32539682539682535,0.4848358405592498,0.48634055416362076
VFL-MTL-FedProx-001,42,2,2.079942524433136,0.6950977444648743,0.6922686398029327,0.6925760805606842,1.0,0.5435435435435435,0.5155877453961158,0.36111111111111116,0.5130247620530506,0.49353051109302437
VFL-MTL-FedProx-001,42,3,2.0787323117256165,0.6938842236995697,0.6928429007530212,0.6920051574707031,1.0,0.5325325325325325,0.47409241894743315,0.34920634920634924,0.49897036297202785,0.492471639485445
VFL-MTL-FedProx-001,123,1,2.089707136154175,0.6970779299736023,0.6980904340744019,0.6945387125015259,1.0,0.5970588235294118,0.5502705306969706,0.4642857142857143,0.3178112078498396,0.5048154902955243
VFL-MTL-FedProx-001,123,2,2.0814430713653564,0.6933810859918594,0.6949485838413239,0.6931134462356567,1.1,0.6215686274509804,0.5669208909566257,0.5551948051948052,0.36093213691008585,0.5040608658225127
VFL-MTL-FedProx-001,123,3,2.0793964862823486,0.6928103864192963,0.694041058421135,0.692545011639595,1.0,0.6029411764705882,0.5427452588847239,0.6244588744588745,0.4102839681750654,0.5025493726216644
VFL-MTL-FedProx-001,7,1,2.099218726158142,0.695947915315628,0.709146037697792,0.6941247135400772,1.1,0.552297165200391,0.5651471863614086,0.5274509803921569,0.5138931065426144,0.497211351284799
VFL-MTL-FedProx-001,7,2,2.069803476333618,0.6904786825180054,0.6856715530157089,0.6936532109975815,1.1,0.6001955034213098,0.6283145671277843,0.43529411764705883,0.43267332287982707,0.5074228984820589
VFL-MTL-FedProx-001,7,3,2.068154811859131,0.6897932589054108,0.6848911643028259,0.6934703439474106,1.2,0.5728250244379276,0.5783996517780358,0.4274509803921569,0.43329448653151137,0.50223945813615
VFL-MTL-FedProx-01,42,1,2.0915268659591675,0.7024407088756561,0.6952483952045441,0.6938377767801285,1.1,0.5785785785785785,0.5833577095500779,0.31845238095238093,0.4917721958736472,0.4827572734849821
VFL-MTL-FedProx-01,42,2,2.0800731778144836,0.694884866476059,0.6925487220287323,0.6926395297050476,1.0,0.5705705705705706,0.5661947007638157,0.3373015873015873,0.49138125705230334,0.5041180628334737
VFL-MTL-FedProx-01,42,3,2.0793529748916626,0.6941752582788467,0.6931222081184387,0.6920554935932159,1.0,0.5365365365365367,0.48888411114430835,0.3779761904761905,0.5301500512655248,0.502388187096746
VFL-MTL-FedProx-01,123,1,2.090130925178528,0.6969265639781952,0.6985935419797897,0.6946108788251877,1.1,0.6176470588235294,0.5715207842490614,0.5422077922077921,0.3497750974630833,0.4969670162342592
VFL-MTL-FedProx-01,123,2,2.080369234085083,0.6934375613927841,0.693699300289154,0.6932324171066284,1.1,0.6205882352941177,0.5642615228222999,0.527056277056277,0.34345894334291066,0.5012151510487781
VFL-MTL-FedProx-01,123,3,2.0795645117759705,0.6930627673864365,0.6938460916280746,0.6926556676626205,1.0,0.6127450980392157,0.5851395724471148,0.5800865800865801,0.3698739588584133,0.4954114526094193
VFL-MTL-FedProx-01,7,1,2.098551094532013,0.6963901072740555,0.7080847173929214,0.6940762400627136,1.0,0.6158357771260997,0.629026024960574,0.5735294117647058,0.6152748419221383,0.4956677126855217
VFL-MTL-FedProx-01,7,2,2.0695544481277466,0.6905590891838074,0.6854176223278046,0.6935778111219406,1.1,0.6119257086999023,0.6324528431343164,0.4509803921568628,0.44735168145630666,0.49467469145343146
