n_sites,seed,convergence_round,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
2,42,36,1,2.4726882058430495,0.4105599046480365,2.062128302527637,0.7289387331745489,63.6,0.47619047619047616,0.029411764705882353,0.008447504791651905,nan
2,42,36,2,2.226067851229412,0.3957019678460873,1.8303658778105325,0.7504732599103354,52.7,0.4285714285714286,0.02702702702702703,0.008447504791651905,nan
2,42,36,3,2.2355502504643385,0.39625223090008993,1.8392980224717923,0.7572040475480925,51.8,0.5873015873015873,0.037037037037037035,0.02696308666457925,nan
2,42,36,4,2.0486454789231465,0.3951659357644678,1.6534795470354033,0.7685125281171101,51.4,0.5396825396825398,0.03333333333333333,0.02696308666457925,nan
2,42,36,5,2.147896841289551,0.3928752988576889,1.755021540130057,0.7678345645346293,51.8,0.5714285714285714,0.03571428571428571,0.0,nan
2,42,36,6,2.458185889856602,0.3943968710860586,2.063789003263644,0.7742933349880746,51.8,0.4920634920634921,0.030303030303030304,0.008447504791651905,nan
2,42,36,7,2.4214764416702397,0.3862935983068575,2.035182852086013,0.7639077882456585,51.4,0.5396825396825398,0.03333333333333333,0.014517265680056402,nan
2,42,36,8,2.337218367956518,0.3865933609687216,1.9506250028687764,0.7654734796624842,51.4,0.6507936507936508,0.043478260869565216,0.014517265680056402,nan
2,42,36,9,2.382370055206423,0.3815444076691217,2.0008256464469723,0.7664427122449488,51.4,0.746031746031746,0.058823529411764705,0.008447504791651905,nan
2,42,36,10,2.3797500899167563,0.38320908580369095,1.9965410135625823,0.7674240382706247,51.4,0.746031746031746,0.058823529411764705,0.008447504791651905,nan
2,42,36,11,2.3592739647966092,0.3815723897480383,1.977701564145282,0.7588749920449606,51.5,0.8412698412698413,0.09090909090909091,0.008447504791651905,nan
2,42,36,12,2.328561387410978,0.381402055059022,1.947159331988513,0.7540258823371515,51.3,0.8095238095238095,0.07692307692307693,0.048642837946788475,nan
2,42,36,13,2.256490976829839,0.3770375921716535,1.8794533867176955,0.7509630356377702,51.3,0.46031746031746035,0.02857142857142857,0.008447504791651905,nan
2,42,36,14,2.1573810616159825,0.37610066591239555,1.7812803857694797,0.7535550996540038,51.4,0.7619047619047619,0.0625,0.008447504791651905,nan
2,42,36,15,2.1105307011100334,0.377334210930801,1.7331964775798767,0.760361925857823,51.4,0.873015873015873,0.1111111111111111,0.008447504791651905,nan
2,42,36,16,2.079647416021766,0.3733300487927305,1.706317357900666,0.7692282461538548,51.4,0.5555555555555556,0.034482758620689655,0.008447504791651905,nan
2,42,36,17,2.0442432533434736,0.3750878108468482,1.6691554474636792,0.7700348137840023,51.4,0.3650793650793651,0.024390243902439025,0.02696308666457925,nan
2,42,36,18,2.0106299698837407,0.375846827539002,1.6347831390737517,0.7779969049663078,51.4,0.4285714285714286,0.02702702702702703,0.006119777848526686,nan
2,42,36,19,2.03662947135243,0.3736421882621641,1.6629872748522254,0.7751124951897598,51.4,0.4126984126984127,0.02631578947368421,0.02696308666457925,nan
2,42,36,20,1.995071080642018,0.3703361526737368,1.6247349328141871,0.7761615020472828,51.4,0.7936507936507937,0.07142857142857142,0.02696308666457925,nan
2,42,36,21,1.9751723878751926,0.3735356408406079,1.6016367586647593,0.7796064237268959,51.5,0.7619047619047619,0.0625,0.02696308666457925,nan
2,42,36,22,1.9939077685518962,0.36962559976713444,1.6242821730249297,0.7825726159219819,51.4,0.38095238095238093,0.025,0.02696308666457925,nan
2,42,36,23,1.9738295165503896,0.3699885106425944,1.6038410062712383,0.7826068837468217,51.5,0.38095238095238093,0.025,0.02696308666457925,nan
2,42,36,24,1.982062395026044,0.3680134288421491,1.6140489684857005,0.7831776311727074,51.5,0.3650793650793651,0.024390243902439025,0.02696308666457925,nan
2,42,36,25,1.9732061663294227,0.3690585023988553,1.6041476639305674,0.7834798078226849,51.4,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,42,36,26,1.9545563469088174,0.36709103460718945,1.5874653104844132,0.7858040323102378,51.7,0.6666666666666667,0.045454545454545456,0.02696308666457925,nan
2,42,36,27,1.9697823388789728,0.36697364677258626,1.6028086945293396,0.7796816089288975,51.5,0.7142857142857143,0.05263157894736842,0.02696308666457925,nan
2,42,36,28,1.9576779981938803,0.3632224666151574,1.5944555406647969,0.782959949679491,51.5,0.6825396825396826,0.047619047619047616,0.043128234617596295,nan
2,42,36,29,1.961904997748088,0.36243179283006405,1.599473206008353,0.7817678994279567,51.7,0.6984126984126984,0.05,0.02696308666457925,nan
2,42,36,30,1.9608184612863433,0.3596031083081796,1.6012153547953785,0.7830516148388871,51.6,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,42,36,31,1.9819997549057007,0.36540587609860953,1.6165938784436482,0.7835661788296894,51.6,0.7142857142857143,0.05263157894736842,0.02696308666457925,nan
2,42,36,32,1.9368790397799112,0.36134590160071367,1.5755331370888688,0.7875166864899116,51.7,0.4444444444444444,0.027777777777777776,0.02696308666457925,nan
2,42,36,33,1.9417886617707043,0.3623366391028815,1.5794520261811047,0.7841739199025844,51.8,0.5238095238095238,0.03225806451612903,0.02696308666457925,nan
2,42,36,34,1.9335945234066103,0.35989583168572525,1.5736986931746568,0.7866529478290216,51.5,0.6825396825396826,0.047619047619047616,0.02696308666457925,nan
2,42,36,35,1.9420670910579403,0.35674603889143564,1.5853210542260148,0.7777400956890448,51.6,0.6349206349206349,0.041666666666666664,0.02696308666457925,nan
2,42,36,36,1.9460420986501181,0.36172588351296214,1.5843162139256795,0.7805987800039896,51.6,0.5555555555555556,0.034482758620689655,0.02696308666457925,nan
2,42,36,37,1.9358896385363447,0.35999604865787477,1.5758935852748592,0.7890780398516151,51.4,0.6349206349206349,0.041666666666666664,0.016646765470253566,nan
2,42,36,38,1.9286179668535062,0.3609179300748236,1.5677000439263942,0.7900526465439215,51.4,0.11111111111111116,0.017543859649122806,0.02696308666457925,nan
2,42,36,39,1.9866573868728266,0.3619393189021242,1.6247180739069373,0.7909743398185668,51.4,0.33333333333333337,0.023255813953488372,0.02696308666457925,nan
