n_sites,seed,convergence_round,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
2,42,2,1,1.397568702697754,0.7001208066940308,0.6974478960037231,0.7091609686613083,0.6,0.44844844844844844,0.4864004267710752,0.4047619047619047,0.5243191003003369,nan
2,42,2,2,1.3862119317054749,0.6942836940288544,0.6919282674789429,0.706798642873764,0.6,0.44444444444444436,0.4487575166544542,0.4037698412698413,0.5291409979913136,nan
2,123,2,1,1.395519495010376,0.6961326897144318,0.6993868201971054,0.6945558041334152,0.6,0.5872549019607843,0.5796704054006661,0.5010822510822511,0.36445585453356827,nan
2,123,2,2,1.3857204914093018,0.6930696815252304,0.6926508098840714,0.6946136802434921,0.6,0.5225490196078432,0.5411572991564697,0.5714285714285714,0.3818594585669875,nan
2,7,2,1,1.4071018397808075,0.6962074190378189,0.710894450545311,0.6966508328914642,0.6,0.5434995112414467,0.5126194559064031,0.4294117647058824,0.4637596022730569,nan
2,7,2,2,1.374418944120407,0.6895407289266586,0.6848782151937485,0.7025839537382126,1.1,0.5004887585532747,0.49048082948216243,0.4539215686274509,0.45992385227048405,nan
3,42,2,1,2.091071367263794,0.701824426651001,0.6954215615987778,0.6938253343105316,1.3,0.5135135135135135,0.5553991006009243,0.28075396825396826,0.45755794771335245,0.48612895651274884
3,42,2,2,2.0791661739349365,0.6944871544837952,0.6921545565128326,0.6925245374441147,0.9,0.5215215215215214,0.5209168356689422,0.34226190476190477,0.5008096809301051,0.48056573583893597
3,123,2,1,2.0903987288475037,0.6968125849962234,0.6990168541669846,0.6945693641901016,0.9,0.5823529411764706,0.5694088051205902,0.4491341991341992,0.3149623260668305,0.5016921665218993
3,123,2,2,2.079710841178894,0.6933126449584961,0.6933307498693466,0.6930674612522125,0.9,0.5754901960784313,0.5684837662058811,0.5454545454545454,0.3529313536647546,0.5067398009863991
3,7,2,1,2.098785698413849,0.6959024369716644,0.7087920308113098,0.6940912455320358,1.0,0.5689149560117301,0.5794805242188054,0.6480392156862745,0.6762343828718361,0.48410975321545663
3,7,2,2,2.069763481616974,0.6902363896369934,0.6858892440795898,0.6936377882957458,0.9,0.6314760508308895,0.6664175656169506,0.5176470588235293,0.5084859420411552,0.4962300764156231
