round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
1,42,0.5,uniform,0.5394483207879752,0.16077303732659437,0.46889366462615667,0.09654601579280807,0.5407757648591492,0.1081945839887257,0.1081945839887257,0.1081945839887257,1.0428980448360528,0.40972452607477594,1.3616347404026048,0.46483300788954357,6.6,-0.040412481874227524,-0.06229908764362335,0.020600575953722,1.0833079814910889,0.8943412899971008,0.8908229470252991
2,42,0.5,uniform,0.49293844610827325,0.14617010988519324,0.5140978273943527,0.1063969676651513,0.5487785779460842,0.11352191676617168,0.11352191676617168,0.11352191676617168,0.9182809432521137,0.3978694184117963,1.3606835218496198,0.4491623594511024,6.0,,,,1.128944993019104,0.810296893119812,0.8095015287399292
3,42,0.5,uniform,0.4896779858119163,0.14198361098068357,0.4741764248177964,0.10039135009024021,0.5445928558938347,0.11884924954361764,0.11884924954361764,0.11884924954361764,0.8507176135304714,0.39874051387653603,1.355083835177026,0.4489916436797146,6.0,,,,1.1519966125488281,0.7465215921401978,0.7503695487976074
4,42,0.5,uniform,0.4902011255835341,0.14127316052009492,0.4448870694252405,0.0930765160631573,0.5459777910583558,0.1241765823210636,0.1241765823210636,0.1241765823210636,0.814227736412698,0.398134263842387,1.3547343739255546,0.4483202609953401,5.9,,,,1.1604516506195068,0.6999924778938293,0.7111120820045471
5,42,0.5,uniform,0.5258862554188284,0.1565866826999296,0.4605235286666645,0.0969917641505669,0.5417029075418307,0.1295039150985096,0.1295039150985096,0.1295039150985096,0.8032658430686684,0.3989394456798853,1.3588567092429082,0.45081024542125553,5.9,,,,1.1653751134872437,0.6693211793899536,0.6890677809715271
6,42,0.5,uniform,0.5282532962803763,0.1541573323023579,0.4985944217543703,0.1079511713363849,0.537424433787098,0.13483124787595557,0.13483124787595557,0.13483124787595557,0.7869296539818876,0.3978191112456884,1.3393384239038526,0.44885125613108473,6.0,0.012784007005393505,-0.3953593671321869,-0.013702151365578175,1.159178376197815,0.6491536498069763,0.677365779876709
7,42,0.5,uniform,0.4991211585046866,0.14951001935949557,0.5463548103134637,0.14832828172759926,0.5419644808371592,0.14015858065340153,0.14015858065340153,0.14015858065340153,0.7893507651106239,0.3976092996425504,1.3519440275092311,0.4486101259310693,6.0,,,,1.1629207134246826,0.6388890147209167,0.6718279123306274
8,42,0.5,uniform,0.4796675230164839,0.13240941630434408,0.4593691556205567,0.09541365093410525,0.5213471966554664,0.1454859134308475,0.1454859134308475,0.1454859134308475,0.7866183905882607,0.3979248924416746,1.345518041646116,0.44826788178697946,6.0,,,,1.1630115509033203,0.634568452835083,0.6702070236206055
9,42,0.5,uniform,0.507554288246682,0.15168841611379227,0.527580947150045,0.11007295238981549,0.5476250463311179,0.15081324620829348,0.15081324620829348,0.15081324620829348,0.7909075006126837,0.3971094830067397,1.3578257269213814,0.44901508626458947,5.9,,,,1.1626930236816406,0.6320221424102783,0.6705507040023804
10,42,0.5,uniform,0.5052992892629727,0.14250202996357342,0.5053466259203317,0.1056840551798223,0.5488663118636966,0.15614057898573946,0.15614057898573946,0.15614057898573946,0.7847660185207966,0.3980622024124887,1.3389029385741622,0.4487503211310857,5.9,,,,1.1577811241149902,0.6314105987548828,0.6701158881187439
