task_config,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
all_tasks,42,1,2.986998335132754,0.4173875361438689,2.0808550623374256,0.4887557330170298,103.9,0.06349206349206349,0.016666666666666666,0.0,0.5836751692763164
all_tasks,42,2,2.8110597366239967,0.4015047557470275,1.9515050339504956,0.4580499609796012,78.7,0.47619047619047616,0.029411764705882353,0.02696308666457925,0.5816249771199732
all_tasks,42,3,2.56481536617124,0.3910050195891683,1.718224447917163,0.45558589672654626,75.9,0.19047619047619047,0.019230769230769232,0.02696308666457925,0.6338986768541404
all_tasks,42,4,2.467448942060393,0.3899169903460557,1.6227374212528631,0.45479452900770234,75.7,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.635792874228463
all_tasks,42,5,2.4968070615597857,0.3882892320795757,1.6552678492011093,0.4532499747063086,75.4,0.2857142857142857,0.021739130434782608,0.010647705967667731,0.6529666717462733
all_tasks,42,6,2.5902485576102405,0.3841296628238709,1.752252256967188,0.4538666324886849,75.5,0.5396825396825398,0.03333333333333333,0.008447504791651905,0.6817166565212103
all_tasks,42,7,2.5332810549232048,0.3852440817811625,1.689199097757417,0.45883788132086034,75.5,0.39682539682539686,0.02564102564102564,0.02696308666457925,0.5992116973417748
all_tasks,42,8,2.4384819317639357,0.37971464574821595,1.603843245079847,0.45492401476798017,75.4,0.3650793650793651,0.024390243902439025,0.02696308666457925,0.6353163375265268
all_tasks,42,9,2.4265868896391334,0.382545178862122,1.5922743023895636,0.4517673891249711,75.7,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.6250568039011162
all_tasks,42,10,2.419222457622125,0.38028742651629255,1.5878954544299986,0.45103957788731025,75.8,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6727148504666648
all_tasks,42,11,2.4259030140512357,0.38127172708026763,1.5938831810059586,0.4507481070553384,75.9,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.6636172175181352
all_tasks,42,12,2.4080798044437315,0.3836279037764402,1.5750974523342722,0.44935444070071706,75.8,0.8095238095238095,0.07692307692307693,0.006119777848526686,0.6840602743935994
all_tasks,42,13,2.4145486199758888,0.38010078208233283,1.582975782029997,0.4514720645861897,75.8,0.38095238095238093,0.025,0.016646765470253566,0.6404729722349567
all_tasks,42,14,2.448336147680515,0.3770738646266906,1.6208878891254828,0.45037440095490555,75.7,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.666259201958026
all_tasks,42,15,2.401297249445101,0.37551140131019967,1.5758928806801153,0.4498929594590412,75.7,0.8412698412698413,0.09090909090909091,0.02696308666457925,0.6369276451155702
all_tasks,42,16,2.3991573205808314,0.3747789235861321,1.5748125537624205,0.4495658571642589,75.8,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6566895108181298
all_tasks,42,17,2.3959520502788263,0.37210485835870105,1.575288598130389,0.44855859294170286,75.6,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6236420579925364
all_tasks,42,18,2.4720980869076117,0.37093085583632557,1.6509091757177337,0.45025805583814293,75.5,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6365604310591918
all_tasks,42,19,2.390530435050406,0.3710390798202375,1.571708253728665,0.44778310646855735,75.7,0.7936507936507937,0.07142857142857142,0.02696308666457925,0.6814196924597958
all_tasks,42,20,2.3858162135612675,0.3700804177338515,1.5659717069408758,0.4497640813753857,75.7,0.8571428571428572,0.1,0.02696308666457925,0.6561385410462985
all_tasks,42,21,2.385013617151152,0.3662609459181142,1.5683327448077318,0.450419922185138,75.8,0.6349206349206349,0.041666666666666664,0.02696308666457925,0.616900426095704
all_tasks,42,22,2.44732006003217,0.3654937767158679,1.6329245295951036,0.44890176086890987,75.8,0.6984126984126984,0.05,0.02696308666457925,0.6467061069964108
all_tasks,42,23,2.4014978680184216,0.3671375414947184,1.5861108235227384,0.44824950506047506,75.7,0.6984126984126984,0.05,0.02696308666457925,0.6540510037743901
all_tasks,42,24,2.386403395877621,0.3650839127660767,1.572911828514037,0.4484076575050509,75.8,0.3650793650793651,0.024390243902439025,0.02696308666457925,0.630441619869733
all_tasks,42,25,2.3893210810374437,0.36157252051965977,1.5790777448716202,0.4486708289724055,75.6,0.7777777777777778,0.06666666666666667,0.008447504791651905,0.6338715386103759
all_tasks,42,26,2.440736109648294,0.359024756080736,1.6320709794517454,0.4496403809000806,75.8,0.6984126984126984,0.05,0.02696308666457925,0.6483917561337236
all_tasks,42,27,2.372336248072182,0.3596462588000104,1.5654440546423438,0.44724593729507633,75.8,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6714863967621231
all_tasks,42,28,2.4138435445180755,0.3599062999331854,1.6059162229057249,0.4480210285845811,75.9,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6479205562398619
all_tasks,42,29,2.398121446128783,0.36144876540676363,1.5872273357903086,0.44944533511875123,75.9,0.746031746031746,0.058823529411764705,0.02696308666457925,0.6720300368956885
all_tasks,42,30,2.368697610327868,0.36060940565132515,1.5605779663334047,0.4475102424621582,75.8,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6823216562598354
all_tasks,42,31,2.436428508138269,0.3613389440910603,1.6262448783812484,0.44884468530251725,75.8,0.6190476190476191,0.04,0.02696308666457925,0.6425224149175032
all_tasks,42,32,2.3700976856355744,0.35714185225769757,1.5650346414829657,0.4479211891085152,75.6,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.647119716166673
all_tasks,42,33,2.373012050380552,0.35750277958265164,1.5678422925918083,0.44766696439525944,75.7,0.6984126984126984,0.05,0.02696308666457925,0.679713256303439
all_tasks,42,34,2.3743966594944155,0.35451763323167473,1.5728974322962568,0.4469815865764773,75.6,0.7619047619047619,0.0625,0.016646765470253566,0.6457430478222886
all_tasks,42,35,2.452101339169634,0.3563149985743732,1.6482790097957705,0.44750732886112804,75.6,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6578772710109563
all_tasks,42,36,2.3846319322663594,0.35690751223544764,1.5799341492536592,0.44779028204398424,75.5,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6925313804694572
all_tasks,42,37,2.392322069261132,0.3572440870651385,1.586897629063304,0.44818036100728725,75.8,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6347515681000127
all_tasks,42,38,2.3704917372726815,0.3579791844860325,1.5660166003839757,0.4464959320498676,75.6,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6674295221916375
all_tasks,42,39,2.3783152743083673,0.3547407276019817,1.577810121745598,0.4457644243550494,75.6,0.7619047619047619,0.0625,0.02696308666457925,0.6714072396103185
all_tasks,42,40,2.3654651389858588,0.35742471179341884,1.561138118185648,0.4469022915615299,75.5,0.5079365079365079,0.03125,0.02696308666457925,0.7297601378373775
all_tasks,42,41,2.3826085551967466,0.35603357536521385,1.5805624704050825,0.44601252311613504,75.0,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6734536641663729
all_tasks,42,42,2.3670137684519696,0.35322192093221155,1.5683318357157514,0.44546001253089285,75.0,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6677466063984481
all_tasks,42,43,2.389190189237517,0.3512119543019349,1.591750741974125,0.4462274967170343,74.8,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.667833853248814
all_tasks,42,44,2.3832135995229087,0.35623250041550736,1.5804681031684564,0.4465129860048372,74.7,0.6984126984126984,0.05,0.02696308666457925,0.6525802327895391
all_tasks,42,45,2.370862352169626,0.3524924147177518,1.5735915356535253,0.4447783944083423,74.6,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.651031196697569
all_tasks,42,46,2.3620847182545237,0.35048382559685204,1.5666232060610763,0.44497768059978643,74.6,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6384612815236147
all_tasks,42,47,2.3634677476030057,0.3525933496108869,1.5670887512889335,0.44378565312401064,74.7,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6703295347690013
all_tasks,42,48,2.421264886856079,0.3486174901084202,1.6273658721427606,0.4452815179417773,74.5,0.7936507936507937,0.07142857142857142,0.008447504791651905,0.5970776938131115
all_tasks,42,49,2.3810018756525304,0.3500692512446303,1.5859640856099322,0.44496854025173965,74.5,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.664343281499249
all_tasks,42,50,2.3605128555763057,0.35188678888286035,1.5628258484165842,0.4458002254245727,74.5,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.6721838617891818
all_tasks,123,1,2.9742398339558425,0.4106712430957856,2.0793089556500193,0.48425962551822505,74.9,0.19047619047619047,0.019230769230769232,0.0,0.5314364856054467
all_tasks,123,2,2.8835089264846427,0.3969720758315993,2.028550135410898,0.4579866986449172,74.9,0.04761904761904767,0.01639344262295082,0.013281785870175256,0.5798466459758295
all_tasks,123,3,2.646055537510694,0.39682793399182764,1.792633590659475,0.4565940087403708,75.1,0.1428571428571429,0.01818181818181818,0.06368510527004057,0.5752672957644199
all_tasks,123,4,2.564694637205543,0.39203842456747845,1.717781932373357,0.45487427154207616,75.3,0.15873015873015872,0.018518518518518517,0.008447504791651905,0.5981177217118654
all_tasks,123,5,2.5275232346077274,0.38761640612672016,1.6847862421981687,0.45512058628283864,75.3,0.12698412698412698,0.017857142857142856,0.02696308666457925,0.6656078088679178
all_tasks,123,6,2.4442834912276847,0.3866853665530197,1.605402125575678,0.4521959978875106,75.1,0.38095238095238093,0.025,0.02696308666457925,0.66958497020711
all_tasks,123,7,2.466570906522797,0.3875644947212886,1.6260986085829696,0.45290779946296195,74.9,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.6832014109017
all_tasks,123,8,2.4204256534576416,0.3804416683146624,1.5869307711841614,0.45305321928931447,74.9,0.7777777777777778,0.06666666666666667,0.02696308666457925,0.6324291417703012
all_tasks,123,9,2.4865627482654604,0.3816219951079144,1.6527146420827725,0.4522261384541426,74.9,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.643459181050985
all_tasks,123,10,2.4233595956631793,0.3835198575161337,1.5889473601085384,0.45089238058260783,74.9,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.6280242405950088
all_tasks,123,11,2.4155059054615053,0.38043474945111005,1.5850333537512677,0.45003780334945614,74.8,0.7777777777777778,0.06666666666666667,0.02696308666457925,0.6546489629620746
all_tasks,123,12,2.4830812128578743,0.3773084669336071,1.6538180568353917,0.4519546942982247,74.8,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.65775126948412
all_tasks,123,13,2.4177758141261774,0.3758006304260192,1.5919255551283922,0.4500496280871756,74.8,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6382674408718872
all_tasks,123,14,2.427109798764795,0.37270489189682937,1.605698882079706,0.448706031572528,74.9,0.6190476190476191,0.04,0.02696308666457925,0.6385163143813614
all_tasks,123,15,2.4159068828675805,0.37023682153321863,1.5971635444377497,0.4485065294959681,74.9,0.6984126984126984,0.05,0.008447504791651905,0.640394540041541
all_tasks,123,16,2.4181640477684456,0.37392142148521856,1.595013616530876,0.44922902574384116,74.8,0.7619047619047619,0.0625,0.02696308666457925,0.666737645097002
all_tasks,123,17,2.389564361029524,0.3706854803533089,1.5700592258112218,0.4488196513517116,74.8,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.6681422270167566
all_tasks,123,18,2.398501462083522,0.36504206873052486,1.583722351043205,0.44973705527259084,74.9,0.6984126984126984,0.05,0.02696308666457925,0.6704995777713281
all_tasks,123,19,2.4937943695037346,0.3655146950386404,1.6794684650452156,0.4488112124485698,74.9,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6800151990227662
all_tasks,123,20,2.433588320646829,0.364810134821791,1.6198696644325568,0.4489085058855817,74.9,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6530899663259969
all_tasks,123,21,2.390201188684479,0.3630228494483281,1.578965169627492,0.44821316464160516,74.7,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.6683179022554327
all_tasks,123,22,2.396072269455204,0.3631871131862082,1.584995545022856,0.44788961875729444,74.9,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.6721872310735814
all_tasks,123,23,2.3850955284707913,0.36314539647683863,1.5734835998798773,0.4484665347793238,74.9,0.6190476190476191,0.04,0.02696308666457925,0.6648674162246756
all_tasks,123,24,2.3895345906901166,0.36228021882413847,1.57931756488676,0.44793681739791624,74.9,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6814982029244124
all_tasks,123,25,2.392069930952739,0.3623166662163851,1.583251585805319,0.44650168171743065,75.0,0.6190476190476191,0.04,0.02696308666457925,0.6850839122676041
all_tasks,123,26,2.3721391495650375,0.36234273149715207,1.5637931523284292,0.44600327325061084,74.8,0.31746031746031744,0.022727272727272728,0.02696308666457925,0.6820057600154106
all_tasks,123,27,2.375606943921345,0.35870215781335907,1.5708027360885124,0.44610205413849374,74.8,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6579323059517616
all_tasks,123,28,2.3692263384175494,0.35692446624360435,1.5664634316917356,0.44583845211238393,74.8,0.5079365079365079,0.03125,0.02696308666457925,0.682449796457279
all_tasks,123,29,2.368008479839418,0.35840907147744805,1.563368491040982,0.4462309227726324,74.8,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.6849193088345643
all_tasks,123,30,2.457957436398762,0.35908512734785314,1.6514179822875232,0.44745434202798984,74.9,0.6984126984126984,0.05,0.02696308666457925,0.6928313831149298
all_tasks,123,31,2.4079315546082287,0.3596662034591039,1.6017902498322774,0.44647510894914955,75.0,0.7619047619047619,0.0625,0.02696308666457925,0.6732833405697305
all_tasks,123,32,2.385669971869244,0.36172506891615025,1.577318746869157,0.4466261621413192,75.0,0.6031746031746033,0.038461538461538464,0.02696308666457925,0.6709535279082857
all_tasks,123,33,2.359791390294951,0.3530351400859957,1.5613601110815032,0.4453961400966334,74.9,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6858429418174898
all_tasks,123,34,2.3686780115453208,0.3604710530943987,1.5634594234993788,0.4447475393128589,75.0,0.47619047619047616,0.029411764705882353,0.02696308666457925,0.6693616670398421
all_tasks,123,35,2.358626617648737,0.3570162420108066,1.556040250188936,0.44557013259670597,75.1,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.6812205771344649
all_tasks,123,36,2.36604955332066,0.35635089171611195,1.5643892317283443,0.44530943690276725,75.3,0.5873015873015873,0.037037037037037035,0.02696308666457925,0.6804083802722926
all_tasks,123,37,2.3821291729686704,0.3553832963230164,1.5818586233185559,0.44488724726971574,75.3,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.6759020906951791
all_tasks,123,38,2.372346734612938,0.3556714899898545,1.5724323299842151,0.44424291548690176,75.2,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6496496936298134
all_tasks,123,39,2.354999676952517,0.3563150694457496,1.5529643762402419,0.44572022387651894,75.2,0.5079365079365079,0.03125,0.02696308666457925,0.6835312171147228
all_tasks,123,40,2.383431252425279,0.3542229736723551,1.5840607600483467,0.4451475300924565,75.3,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.6610401159203793
all_tasks,123,41,2.490737637853235,0.35167031777583485,1.6930983958205557,0.4459689213493006,75.3,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.6709467439900515
all_tasks,123,42,2.3737519107213836,0.3544181166141014,1.5750428612639265,0.4442909391430335,75.3,0.6349206349206349,0.041666666666666664,0.02696308666457925,0.66096605754731
