round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno
1,42,inf,uniform,0.5135135135135135,0.5553991006009243,0.27976190476190477,0.4572627249543616,0.48596824294322977,1.044855684041977,0.7018233835697174,0.6954213082790375,0.6938256025314331,1.1,0.9980029463768005,0.9980043768882751,0.9980021119117737
2,42,inf,uniform,0.5155155155155154,0.5209405960525015,0.3472222222222222,0.5108283280561947,0.4809593186969171,1.0370557010173798,0.6945152282714844,0.6920840293169022,0.6925445944070816,1.0,0.9960107207298279,0.9960083365440369,0.9960088729858398
3,42,inf,uniform,0.49749749749749744,0.5009922956001859,0.3273809523809524,0.49826116871211756,0.4788140572066112,1.0347678661346436,0.6936468780040741,0.6925584226846695,0.6919944882392883,1.0,0.9940234422683716,0.9940165877342224,0.9940217137336731
4,42,inf,uniform,0.4754754754754754,0.4596803078739861,0.32242063492063494,0.4861054753089703,0.48128390765952617,1.0319556593894958,0.693084642291069,0.6916281878948212,0.6914766877889633,1.1,0.9920424222946167,0.9920312166213989,0.9920416474342346
5,42,inf,uniform,0.4644644644644645,0.44375999106056174,0.3293650793650793,0.49348060221704465,0.49338823045509017,1.029006451368332,0.6925369203090668,0.6901926100254059,0.6911587119102478,0.9,0.9900683760643005,0.9900535345077515,0.990069568157196
1,123,inf,uniform,0.5823529411764706,0.5695078691364405,0.45129870129870137,0.3162271482012179,0.5014294176522512,1.044516772031784,0.6968123763799667,0.6990145742893219,0.694569393992424,1.0,0.998002827167511,0.9980012774467468,0.998002290725708
2,123,inf,uniform,0.5705882352941176,0.565794021131105,0.5465367965367965,0.3493852688027327,0.5057371060229708,1.0373209416866302,0.6933108270168304,0.6932954788208008,0.693066343665123,1.0,0.9960082173347473,0.9960059523582458,0.996009111404419
3,123,inf,uniform,0.5764705882352941,0.5658529893148216,0.5995670995670996,0.392134312974316,0.5130676081923834,1.0351562201976776,0.6925843209028244,0.6938287317752838,0.692554697394371,1.0,0.9940184354782104,0.994016170501709,0.9940218329429626
4,123,inf,uniform,0.5656862745098039,0.5555365936068895,0.6266233766233766,0.42741715853251067,0.5174859348227979,1.0322704017162323,0.6920346468687057,0.692622110247612,0.6921511441469193,1.0,0.9920350313186646,0.9920334219932556,0.9920417070388794
5,123,inf,uniform,0.5745098039215686,0.5750831209800316,0.6385281385281385,0.4451781412243962,0.5179116849770555,1.0292738378047943,0.6908104866743088,0.6916871666908264,0.6919135898351669,0.9,0.9900591969490051,0.9900581240653992,0.9900698661804199
1,7,inf,uniform,0.5708699902248289,0.5819500976561207,0.6441176470588235,0.6719814046007566,0.4840986952543649,1.0487156510353088,0.6959042996168137,0.7087883949279785,0.6940910965204239,1.0,0.9980067610740662,0.9980034232139587,0.9980021715164185
2,7,inf,uniform,0.6412512218963831,0.6815673498757384,0.5019607843137255,0.499248394591127,0.49191304929559443,1.032299518585205,0.6902151107788086,0.6858538091182709,0.6936216056346893,1.2,0.9960043430328369,0.9960080981254578,0.9960095286369324
3,7,inf,uniform,0.6275659824046921,0.6630892198768514,0.48039215686274517,0.47576896191188145,0.4894669214199189,1.0291330218315125,0.6893609464168549,0.6842355281114578,0.6934609264135361,1.0,0.9940030574798584,0.9940178990364075,0.9940233826637268
4,7,inf,uniform,0.6217008797653959,0.6611841674679326,0.47745098039215683,0.4640962276912677,0.4894893545572155,1.0274468064308167,0.6883842051029205,0.6858434975147247,0.6930969953536987,1.0,0.9920094013214111,0.992034375667572,0.9920445084571838
5,7,inf,uniform,0.6041055718475072,0.6437624188195287,0.4696078431372549,0.45557436141834484,0.4914160680728804,1.0245411098003387,0.6872654259204865,0.685092031955719,0.6927902847528458,1.0,0.9900234341621399,0.990058183670044,0.9900738596916199
1,17,inf,uniform,0.5458128078817734,0.5853894366998071,0.5537109375,0.554490153522285,0.4718831875503383,1.042467474937439,0.694990947842598,0.6962016820907593,0.6951077729463577,1.0,0.9980029463768005,0.998002290725708,0.998002290725708
2,17,inf,uniform,0.5320197044334976,0.5649115009061176,0.53125,0.5004750848904341,0.48860564115089633,1.0367816984653473,0.6918855160474777,0.6935041546821594,0.6932060867547989,1.0,0.9960097670555115,0.9960083365440369,0.9960091710090637
3,17,inf,uniform,0.5369458128078818,0.5925189264611022,0.5341796875,0.4927529228273232,0.4850734149064621,1.0340397953987122,0.6913996785879135,0.6927092224359512,0.6926408410072327,1.0,0.9940214157104492,0.9940200448036194,0.9940218329429626
4,17,inf,uniform,0.5261083743842364,0.5840607421516355,0.5458984375,0.5004851634281926,0.48580607006522925,1.0298496782779694,0.6892315894365311,0.6904896050691605,0.6923032999038696,1.0,0.9920386075973511,0.9920371770858765,0.9920414686203003
5,17,inf,uniform,0.5014778325123153,0.5504018011308244,0.5634765625,0.5176747591555552,0.48892019036332485,1.0224901139736176,0.6845554560422897,0.6843940317630768,0.6921253651380539,1.0,0.9900581240653992,0.990057647228241,0.9900694489479065
1,99,inf,uniform,0.4719211822660099,0.5404813412577184,0.36036036036036034,0.34846374967828186,0.5013977711090546,1.043396383523941,0.695754811167717,0.6987794935703278,0.6936137825250626,1.0,0.9980065822601318,0.9980025887489319,0.9980023503303528
2,99,inf,uniform,0.503448275862069,0.6182251339726994,0.39039039039039036,0.36590883225804227,0.5086362908995535,1.034919410943985,0.6900249123573303,0.6927343457937241,0.6921241879463196,1.2,0.9960148334503174,0.9960076212882996,0.9960094690322876
3,99,inf,uniform,0.5039408866995073,0.6588694091952355,0.4234234234234234,0.4053218210776279,0.5018620627712744,1.0328840613365173,0.6899587363004684,0.6929881572723389,0.6915070414543152,1.4,0.9940268397331238,0.9940183758735657,0.9940223693847656
4,99,inf,uniform,0.48374384236453205,0.630828480032021,0.47347347347347346,0.4332047119507928,0.4992216633611065,1.030453622341156,0.6897949725389481,0.6922803968191147,0.6911350190639496,1.3,0.9920451045036316,0.9920362830162048,0.9920423030853271
5,99,inf,uniform,0.4729064039408866,0.6181751677889143,0.49149149149149146,0.44829932759426083,0.49704076742476033,1.027793049812317,0.6891621500253677,0.6914966553449631,0.6908269077539444,1.2,0.9900708198547363,0.9900621175765991,0.9900703430175781
1,42,10.0,uniform,0.5745745745745745,0.5238319260909909,0.33333333333333337,0.4859775897534462,0.5097315574581784,1.0435571074485779,0.6997498720884323,0.6950883120298386,0.6936388909816742,1.0,0.9980028867721558,0.9980036020278931,0.9980021119117737
2,42,10.0,uniform,0.5775775775775776,0.5511243397275368,0.4295634920634921,0.5314624555757106,0.5027616806104026,1.0371313989162445,0.694770410656929,0.6920434087514877,0.6924802660942078,1.0,0.9960106015205383,0.9960085153579712,0.9960089325904846
