split_config,dim_A,dim_B,dim_C,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
default,7,4,3,42,1,2.986998335132754,0.4173875361438689,2.0808550623374256,0.4887557330170298,100.7,0.06349206349206349,0.016666666666666666,0.0,0.5836751692763164
default,7,4,3,42,2,2.8110597366239967,0.4015047557470275,1.9515050339504956,0.4580499609796012,79.1,0.47619047619047616,0.029411764705882353,0.02696308666457925,0.5816249771199732
default,7,4,3,42,3,2.56481536617124,0.3910050195891683,1.718224447917163,0.45558589672654626,76.1,0.19047619047619047,0.019230769230769232,0.02696308666457925,0.6338986768541404
default,7,4,3,42,4,2.467448942060393,0.3899169903460557,1.6227374212528631,0.45479452900770234,75.7,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.635792874228463
default,7,4,3,42,5,2.4968070615597857,0.3882892320795757,1.6552678492011093,0.4532499747063086,75.4,0.2857142857142857,0.021739130434782608,0.010647705967667731,0.6529666717462733
default,7,4,3,42,6,2.5902485576102405,0.3841296628238709,1.752252256967188,0.4538666324886849,75.5,0.5396825396825398,0.03333333333333333,0.008447504791651905,0.6817166565212103
default,7,4,3,42,7,2.5332810549232048,0.3852440817811625,1.689199097757417,0.45883788132086034,75.5,0.39682539682539686,0.02564102564102564,0.02696308666457925,0.5992116973417748
default,7,4,3,42,8,2.4384819317639357,0.37971464574821595,1.603843245079847,0.45492401476798017,75.3,0.3650793650793651,0.024390243902439025,0.02696308666457925,0.6353163375265268
default,7,4,3,42,9,2.4265868896391334,0.382545178862122,1.5922743023895636,0.4517673891249711,75.6,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.6250568039011162
default,7,4,3,42,10,2.419222457622125,0.38028742651629255,1.5878954544299986,0.45103957788731025,75.4,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6727148504666648
default,7,4,3,42,11,2.4259030140512357,0.38127172708026763,1.5938831810059586,0.4507481070553384,75.6,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.6636172175181352
default,7,4,3,42,12,2.4080798044437315,0.3836279037764402,1.5750974523342722,0.44935444070071706,75.7,0.8095238095238095,0.07692307692307693,0.006119777848526686,0.6840602743935994
default,7,4,3,42,13,2.4145486199758888,0.38010078208233283,1.582975782029997,0.4514720645861897,75.5,0.38095238095238093,0.025,0.016646765470253566,0.6404729722349567
default,7,4,3,42,14,2.448336147680515,0.3770738646266906,1.6208878891254828,0.45037440095490555,75.7,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.666259201958026
default,7,4,3,42,15,2.401297249445101,0.37551140131019967,1.5758928806801153,0.4498929594590412,75.4,0.8412698412698413,0.09090909090909091,0.02696308666457925,0.6369276451155702
default,7,4,3,42,16,2.3991573205808314,0.3747789235861321,1.5748125537624205,0.4495658571642589,75.6,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6566895108181298
default,7,4,3,42,17,2.3959520502788263,0.37210485835870105,1.575288598130389,0.44855859294170286,75.4,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6236420579925364
default,7,4,3,42,18,2.4720980869076117,0.37093085583632557,1.6509091757177337,0.45025805583814293,75.3,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6365604310591918
default,7,4,3,42,19,2.390530435050406,0.3710390798202375,1.571708253728665,0.44778310646855735,75.6,0.7936507936507937,0.07142857142857142,0.02696308666457925,0.6814196924597958
default,7,4,3,42,20,2.3858162135612675,0.3700804177338515,1.5659717069408758,0.4497640813753857,75.5,0.8571428571428572,0.1,0.02696308666457925,0.6561385410462985
default,7,4,3,42,21,2.385013617151152,0.3662609459181142,1.5683327448077318,0.450419922185138,75.6,0.6349206349206349,0.041666666666666664,0.02696308666457925,0.616900426095704
default,7,4,3,42,22,2.44732006003217,0.3654937767158679,1.6329245295951036,0.44890176086890987,75.5,0.6984126984126984,0.05,0.02696308666457925,0.6467061069964108
default,7,4,3,42,23,2.4014978680184216,0.3671375414947184,1.5861108235227384,0.44824950506047506,75.4,0.6984126984126984,0.05,0.02696308666457925,0.6540510037743901
default,7,4,3,42,24,2.386403395877621,0.3650839127660767,1.572911828514037,0.4484076575050509,75.7,0.3650793650793651,0.024390243902439025,0.02696308666457925,0.630441619869733
default,7,4,3,42,25,2.3893210810374437,0.36157252051965977,1.5790777448716202,0.4486708289724055,75.3,0.7777777777777778,0.06666666666666667,0.008447504791651905,0.6338715386103759
default,7,4,3,42,26,2.440736109648294,0.359024756080736,1.6320709794517454,0.4496403809000806,75.3,0.6984126984126984,0.05,0.02696308666457925,0.6483917561337236
default,7,4,3,42,27,2.372336248072182,0.3596462588000104,1.5654440546423438,0.44724593729507633,75.3,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6714863967621231
default,7,4,3,42,28,2.4138435445180755,0.3599062999331854,1.6059162229057249,0.4480210285845811,75.4,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6479205562398619
default,7,4,3,42,29,2.398121446128783,0.36144876540676363,1.5872273357903086,0.44944533511875123,75.3,0.746031746031746,0.058823529411764705,0.02696308666457925,0.6720300368956885
default,7,4,3,42,30,2.368697610327868,0.36060940565132515,1.5605779663334047,0.4475102424621582,75.6,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6823216562598354
default,7,4,3,42,31,2.436428508138269,0.3613389440910603,1.6262448783812484,0.44884468530251725,75.6,0.6190476190476191,0.04,0.02696308666457925,0.6425224149175032
default,7,4,3,42,32,2.3700976856355744,0.35714185225769757,1.5650346414829657,0.4479211891085152,75.7,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.647119716166673
default,7,4,3,42,33,2.373012050380552,0.35750277958265164,1.5678422925918083,0.44766696439525944,76.0,0.6984126984126984,0.05,0.02696308666457925,0.679713256303439
default,7,4,3,42,34,2.3743966594944155,0.35451763323167473,1.5728974322962568,0.4469815865764773,75.8,0.7619047619047619,0.0625,0.016646765470253566,0.6457430478222886
default,7,4,3,42,35,2.452101339169634,0.3563149985743732,1.6482790097957705,0.44750732886112804,75.9,0.7142857142857143,0.05263157894736842,0.02696308666457925,0.6578772710109563
default,7,4,3,42,36,2.3846319322663594,0.35690751223544764,1.5799341492536592,0.44779028204398424,75.8,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.6925313804694572
default,7,4,3,42,37,2.392322069261132,0.3572440870651385,1.586897629063304,0.44818036100728725,75.9,0.6666666666666667,0.045454545454545456,0.02696308666457925,0.6347515681000127
default,7,4,3,42,38,2.3704917372726815,0.3579791844860325,1.5660166003839757,0.4464959320498676,75.6,0.7301587301587302,0.05555555555555555,0.02696308666457925,0.6674295221916375
default,7,4,3,42,39,2.3783152743083673,0.3547407276019817,1.577810121745598,0.4457644243550494,75.6,0.7619047619047619,0.0625,0.02696308666457925,0.6714072396103185
