task_config,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
all_tasks,42,1,2.091071367263794,0.701824426651001,0.6954215615987778,0.6938253343105316,1.1,0.5135135135135135,0.5553991006009243,0.28075396825396826,0.45755794771335245,0.48612895651274884
all_tasks,42,2,2.0791661739349365,0.6944871544837952,0.6921545565128326,0.6925245374441147,1.0,0.5215215215215214,0.5209168356689422,0.34226190476190477,0.5008096809301051,0.48056573583893597
all_tasks,123,1,2.0903987288475037,0.6968125849962234,0.6990168541669846,0.6945693641901016,1.4,0.5823529411764706,0.5694088051205902,0.4491341991341992,0.3149623260668305,0.5016921665218993
all_tasks,123,2,2.079710841178894,0.6933126449584961,0.6933307498693466,0.6930674612522125,1.0,0.5754901960784313,0.5684837662058811,0.5454545454545454,0.3529313536647546,0.5067398009863991
all_tasks,7,1,2.098785698413849,0.6959024369716644,0.7087920308113098,0.6940912455320358,0.8,0.5689149560117301,0.5794805242188054,0.6480392156862745,0.6762343828718361,0.48410975321545663
all_tasks,7,2,2.069763481616974,0.6902363896369934,0.6858892440795898,0.6936377882957458,1.2,0.6314760508308895,0.6664175656169506,0.5176470588235293,0.5084859420411552,0.4962300764156231
ihm_only,42,1,0.7034056931734085,0.7034056931734085,0.6954078078269958,0.694121778011322,1.2,0.5385385385385385,0.49375709805373413,0.3740079365079365,0.49493487995034147,0.4927831272758531
ihm_only,42,2,0.6948492527008057,0.6948492527008057,0.6954674273729324,0.6937681585550308,1.2,0.47347347347347346,0.419672836798593,0.4007936507936508,0.5058888165476043,0.4956273115157714
ihm_only,123,1,0.6991586089134216,0.6991586089134216,0.6934589296579361,0.6947008371353149,0.9,0.6127450980392157,0.5884773006800861,0.46212121212121215,0.3314513440497752,0.4893659698668551
ihm_only,123,2,0.6938768774271011,0.6938768774271011,0.6955231875181198,0.6943428963422775,0.9,0.5950980392156864,0.5052614870242522,0.5032467532467533,0.3610817089238338,0.48648794918915206
ihm_only,7,1,0.6970673352479935,0.6970673352479935,0.6963365077972412,0.6943309158086777,0.8,0.530791788856305,0.5590587062817565,0.43529411764705883,0.48535836871438154,0.48582108029089954
ihm_only,7,2,0.690430760383606,0.690430760383606,0.6969412267208099,0.6947602331638336,0.9,0.5982404692082112,0.6285763364325339,0.47843137254901963,0.5114304076328468,0.4864913792127277
ihm_decomp,42,1,1.397935539484024,0.7024287134408951,0.6955068111419678,0.6939810663461685,0.9,0.5175175175175175,0.5259297447806618,0.2847222222222222,0.45693845255581833,0.49862002359821916
ihm_decomp,42,2,1.3863541781902313,0.6943211406469345,0.6920330375432968,0.6936527192592621,0.9,0.47747747747747743,0.4498121790977987,0.3204365079365079,0.48561398629724206,0.4905291175849781
ihm_decomp,123,1,1.3958575427532196,0.6967305243015289,0.6991270482540131,0.6948282718658447,1.2,0.573529411764706,0.5096570361061018,0.46699134199134196,0.32179217164250534,0.505787580165926
ihm_decomp,123,2,1.3868327736854553,0.6933027505874634,0.6935300379991531,0.6944525092840195,0.9,0.5892156862745098,0.5737790894731918,0.5963203463203464,0.3917040681927413,0.49947140445289817
ihm_decomp,7,1,1.405827522277832,0.6966587752103806,0.7091687470674515,0.6942270994186401,0.9,0.5718475073313782,0.5924550166386957,0.6264705882352941,0.649685178999707,0.4932515237132586
ihm_decomp,7,2,1.3758299052715302,0.6900476217269897,0.6857823133468628,0.6945316195487976,0.9,0.6119257086999021,0.6291983033445371,0.5068627450980392,0.5180680473498034,0.4932969432865605
ihm_pheno,42,1,1.3965231776237488,0.7027321606874466,0.6958172172307968,0.6937910616397858,0.9,0.5715715715715716,0.558914286915653,0.5198412698412699,0.6358162022506224,0.4905421013439142
ihm_pheno,42,2,1.3872553408145905,0.6950649321079254,0.6967801600694656,0.692190408706665,0.8,0.5255255255255256,0.47634437957781334,0.5496031746031746,0.6711951543125863,0.4675972082041104
ihm_pheno,123,1,1.3931918442249298,0.698716938495636,0.6933535635471344,0.6944749355316162,0.9,0.6107843137254902,0.5679256947635707,0.4978354978354978,0.41614650583071766,0.5006161045149065
ihm_pheno,123,2,1.386425793170929,0.6936410516500473,0.6963507831096649,0.6927847564220428,0.9,0.6362745098039215,0.5625583152855202,0.501082251082251,0.42655646913122613,0.48382166997420223
ihm_pheno,7,1,1.3906808495521545,0.6968193501234055,0.6995636373758316,0.6938615143299103,0.8,0.5043988269794721,0.5070837888703187,0.407843137254902,0.4403968567141804,0.4897413450635159
ihm_pheno,7,2,1.38375723361969,0.6903815418481827,0.700094074010849,0.6933756917715073,1.2,0.5865102639296187,0.620990729148298,0.4490196078431372,0.46705675360719245,0.48354846125807877
