attack_auc,attack_accuracy,epsilon_level,mode,seed
0.4911242603550296,0.4230769230769231,inf,uniform,42
0.7278106508875739,0.6153846153846154,inf,uniform,123
0.6390532544378699,0.6538461538461539,inf,uniform,7
0.42011834319526625,0.38461538461538464,inf,uniform,17
0.46745562130177515,0.46153846153846156,inf,uniform,99
0.47928994082840237,0.4230769230769231,10.0,uniform,42
0.7278106508875739,0.5769230769230769,10.0,uniform,123
0.6449704142011834,0.6153846153846154,10.0,uniform,7
0.39644970414201186,0.3076923076923077,10.0,uniform,17
0.44378698224852076,0.46153846153846156,10.0,uniform,99
0.47928994082840237,0.4230769230769231,5.0,uniform,42
0.7278106508875739,0.5769230769230769,5.0,uniform,123
0.6449704142011834,0.6153846153846154,5.0,uniform,7
0.39644970414201186,0.3076923076923077,5.0,uniform,17
0.4497041420118344,0.46153846153846156,5.0,uniform,99
0.47928994082840237,0.4230769230769231,2.0,uniform,42
0.7278106508875739,0.5769230769230769,2.0,uniform,123
0.6449704142011834,0.6153846153846154,2.0,uniform,7
0.39644970414201186,0.3076923076923077,2.0,uniform,17
0.44378698224852076,0.46153846153846156,2.0,uniform,99
0.47928994082840237,0.4230769230769231,1.0,uniform,42
0.7278106508875739,0.5769230769230769,1.0,uniform,123
0.6449704142011834,0.6153846153846154,1.0,uniform,7
0.39644970414201186,0.3076923076923077,1.0,uniform,17
0.4497041420118344,0.46153846153846156,1.0,uniform,99
0.47928994082840237,0.4230769230769231,0.5,uniform,42
0.7278106508875739,0.5769230769230769,0.5,uniform,123
0.6449704142011834,0.6153846153846154,0.5,uniform,7
0.39644970414201186,0.3076923076923077,0.5,uniform,17
0.4497041420118344,0.46153846153846156,0.5,uniform,99
0.47928994082840237,0.4230769230769231,5.0,stratified,42
0.7278106508875739,0.5769230769230769,5.0,stratified,123
0.6449704142011834,0.6153846153846154,5.0,stratified,7
0.39644970414201186,0.3076923076923077,5.0,stratified,17
0.44378698224852076,0.46153846153846156,5.0,stratified,99
