split_config,dim_A,dim_B,dim_C,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
default,7,4,3,42,1,2.986998335132754,0.4173875361438689,2.0808550623374256,0.4887557330170298,97.7,0.06349206349206349,0.016666666666666666,0.0,0.5836751692763164
default,7,4,3,42,2,2.8110597366239967,0.4015047557470275,1.9515050339504956,0.4580499609796012,78.3,0.47619047619047616,0.029411764705882353,0.02696308666457925,0.5816249771199732
default,7,4,3,42,3,2.56481536617124,0.3910050195891683,1.718224447917163,0.45558589672654626,76.0,0.19047619047619047,0.019230769230769232,0.02696308666457925,0.6338986768541404
default,7,4,3,42,4,2.467448942060393,0.3899169903460557,1.6227374212528631,0.45479452900770234,75.9,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.635792874228463
default,7,4,3,42,5,2.4968070615597857,0.3882892320795757,1.6552678492011093,0.4532499747063086,75.4,0.2857142857142857,0.021739130434782608,0.010647705967667731,0.6529666717462733
default,7,4,3,42,6,2.5902485576102405,0.3841296628238709,1.752252256967188,0.4538666324886849,75.6,0.5396825396825398,0.03333333333333333,0.008447504791651905,0.6817166565212103
default,7,4,3,42,7,2.5332810549232048,0.3852440817811625,1.689199097757417,0.45883788132086034,75.6,0.39682539682539686,0.02564102564102564,0.02696308666457925,0.5992116973417748
default,7,4,3,42,8,2.4384819317639357,0.37971464574821595,1.603843245079847,0.45492401476798017,75.3,0.3650793650793651,0.024390243902439025,0.02696308666457925,0.6353163375265268
default,7,4,3,42,9,2.4265868896391334,0.382545178862122,1.5922743023895636,0.4517673891249711,75.6,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.6250568039011162
default,7,4,3,42,10,2.419222457622125,0.38028742651629255,1.5878954544299986,0.45103957788731025,75.4,0.8253968253968254,0.08333333333333333,0.02696308666457925,0.6727148504666648
default,7,4,3,123,1,2.9742398339558425,0.4106712430957856,2.0793089556500193,0.48425962551822505,75.3,0.19047619047619047,0.019230769230769232,0.0,0.5314364856054467
default,7,4,3,123,2,2.8835089264846427,0.3969720758315993,2.028550135410898,0.4579866986449172,75.3,0.04761904761904767,0.01639344262295082,0.013281785870175256,0.5798466459758295
default,7,4,3,123,3,2.646055537510694,0.39682793399182764,1.792633590659475,0.4565940087403708,75.4,0.1428571428571429,0.01818181818181818,0.06368510527004057,0.5752672957644199
default,7,4,3,123,4,2.564694637205543,0.39203842456747845,1.717781932373357,0.45487427154207616,75.6,0.15873015873015872,0.018518518518518517,0.008447504791651905,0.5981177217118654
default,7,4,3,123,5,2.5275232346077274,0.38761640612672016,1.6847862421981687,0.45512058628283864,75.3,0.12698412698412698,0.017857142857142856,0.02696308666457925,0.6656078088679178
default,7,4,3,123,6,2.4442834912276847,0.3866853665530197,1.605402125575678,0.4521959978875106,75.4,0.38095238095238093,0.025,0.02696308666457925,0.66958497020711
default,7,4,3,123,7,2.466570906522797,0.3875644947212886,1.6260986085829696,0.45290779946296195,75.4,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.6832014109017
default,7,4,3,123,8,2.4204256534576416,0.3804416683146624,1.5869307711841614,0.45305321928931447,75.6,0.7777777777777778,0.06666666666666667,0.02696308666457925,0.6324291417703012
default,7,4,3,123,9,2.4865627482654604,0.3816219951079144,1.6527146420827725,0.4522261384541426,75.5,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.643459181050985
